epoch,loss,train_acc,val_acc,iter_per_sec,Activation,Fold,learning_rate,momentum
5,0.21857135208617834,94.00444444444445,93.82666666666667,567.4286047245512,Sigmoid,1,0.04,0.7
1,0.47333436714227567,92.91111111111111,92.32000000000001,1095.0029174047697,Tanh,2,0.04,0.7
2,0.20457987144533363,95.13777777777777,94.54,1083.1732622546958,Tanh,2,0.04,0.7
3,0.14662636992082778,96.71333333333332,95.85333333333334,939.9971437168222,Tanh,2,0.04,0.7
4,0.11274387358003239,97.13555555555556,96.04666666666667,917.5031441202013,Tanh,2,0.04,0.7
5,0.0905501702796584,97.88888888888889,96.60666666666667,992.6625364780899,Tanh,2,0.04,0.7
1,0.4587234963769215,93.58888888888889,93.17333333333333,1197.0759518474658,ReLU,3,0.04,0.7
2,0.18613525631214958,96.12888888888888,95.39999999999999,1086.1904590819538,ReLU,3,0.04,0.7
3,0.12883066142965993,97.11555555555556,96.06666666666666,1230.9989814310904,ReLU,3,0.04,0.7
4,0.09682328386464459,97.80888888888889,96.41999999999999,1190.452178459731,ReLU,3,0.04,0.7
5,0.07764527432413822,98.15555555555555,96.82666666666667,1164.331164568765,ReLU,3,0.04,0.7
1,0.4656219320346555,93.70444444444445,93.21333333333334,1110.771716228705,Leaky_ReLU,4,0.04,0.7
2,0.1874787663332009,96.13333333333334,95.28666666666666,1064.7162508272165,Leaky_ReLU,4,0.04,0.7
3,0.13007887337610738,97.14,96.12,1055.5920862062396,Leaky_ReLU,4,0.04,0.7
4,0.09996331305149181,97.73555555555555,96.54,1076.6232995170562,Leaky_ReLU,4,0.04,0.7
5,0.080004244182138,98.08666666666667,96.70666666666666,1051.4083386321965,Leaky_ReLU,4,0.04,0.7
1,1.06740405776593,88.62,88.42666666666666,649.754882807339,Sigmoid,1,0.04,0.65
2,0.355882053094604,90.65333333333334,90.74666666666667,929.6763718367903,Sigmoid,1,0.04,0.65
3,0.29566555432466524,92.13111111111111,91.92,857.6936058259474,Sigmoid,1,0.04,0.65
4,0.26142188105201297,92.97111111111111,92.75333333333333,754.7663143758813,Sigmoid,1,0.04,0.65
5,0.23472380767253034,93.52444444444444,93.30666666666667,485.64197021969153,Sigmoid,1,0.04,0.65
1,0.5015147834005925,92.52666666666667,91.98666666666668,1040.6065219775628,Tanh,2,0.04,0.65
2,0.21826572979598155,94.69555555555556,94.15333333333334,1183.6149397300387,Tanh,2,0.04,0.65
3,0.15942453166876314,96.32888888888888,95.58,1159.8528331204488,Tanh,2,0.04,0.65
4,0.12411449184989111,96.94888888888889,95.88,1033.3477083190699,Tanh,2,0.04,0.65
5,0.10065828472510514,97.61999999999999,96.45333333333333,1164.2532946550043,Tanh,2,0.04,0.65
1,0.4861910432508607,92.99333333333333,92.64666666666666,1155.2597643510258,ReLU,3,0.04,0.65
2,0.20294128587936797,95.60222222222222,94.99333333333333,1140.1178620506987,ReLU,3,0.04,0.65
3,0.14260984667319984,96.74444444444444,95.89999999999999,1213.873023728525,ReLU,3,0.04,0.65
4,0.10839092531533516,97.37555555555556,96.26,1101.4379774732301,ReLU,3,0.04,0.65
5,0.08689191434511456,97.87333333333333,96.64666666666668,1092.7994258039355,ReLU,3,0.04,0.65
1,0.4933442432354655,93.12444444444445,92.62,1151.1368079878719,Leaky_ReLU,4,0.04,0.65
2,0.204483371197577,95.68666666666667,94.8,1114.2550807069365,Leaky_ReLU,4,0.04,0.65
3,0.14304327600580122,96.80888888888889,95.80666666666666,1081.8690395222122,Leaky_ReLU,4,0.04,0.65
4,0.10980274115037403,97.4888888888889,96.36,1063.1640923719494,Leaky_ReLU,4,0.04,0.65
5,0.0884216593462545,97.73333333333333,96.48,1163.980487589359,Leaky_ReLU,4,0.04,0.65
